Highincome Asia Pacific,1.37 (1.16 2.09),2.21 (1.89 3.42),1.56 (1.18 1.78),9.97 (7.27 11.47),1.01 (0.69 1.33)
Highincome North America,3.38 (2.89 3.62),12.56 (10.76 13.43),3.44 (2.96 3.85),24.47 (20.94 27.46),−0.08 (−0.37 0.20)
Western Europe,1.75 (1.53 2.34),10.11 (8.91 13.62),2.85 (2.07 3.16),33.75 (24.15 37.55),2.19 (1.81 2.56)
Australasia,1.82 (1.61 2.08),0.39 (0.34 0.44),2.26 (1.83 2.56),1.33 (1.06 1.51),0.86 (0.50 1.21)
Southern Latin America,2.13 (1.88 2.98),0.86 (0.77 1.19),7.71 (4.76 8.68),6.66 (4.10 7.50),4.92 (4.26 5.59)
Andean Latin America,2.88 (2.48 3.84),0.58 (0.51 0.76),4.01 (2.70 5.13),2.13 (1.44 2.73),1.59 (1.08 2.10)
Tropical Latin America,4.51 (4.03 5.83),3.54 (3.23 4.57),9.38 (5.71 10.45),20.99 (12.87 23.37),3.50 (3.14 3.87)
Central Latin America,2.99 (2.69 3.55),2.34 (2.13 2.79),4.34 (3.49 5.01),9.79 (7.89 11.31),1.98 (1.66 2.30)
Caribbean,1.53 (1.33 2.05),0.38 (0.34 0.50),2.99 (2.21 3.55),1.54 (1.14 1.83),2.45 (2.06 2.85)
Eastern Europe,3.13 (2.28 3.40),8.45 (6.20 9.19),3.17 (2.72 3.61),10.64 (9.12 12.08),−0.43 (−0.79 −0.07)
Central Europe,2.97 (2.20 3.19),4.11 (3.02 4.42),1.75 (1.50 2.09),3.86 (3.32 4.60),−1.44 (−2.17 −0.70)
Central Asia,2.32 (2.08 2.47),1.20 (1.08 1.28),4.55 (3.71 5.13),3.35 (2.79 3.78),2.56 (2.18 2.95)
North Africa and Middle East,1.06 (0.82 1.88),1.54 (1.26 2.40),1.13 (0.96 1.46),3.75 (3.23 4.79),0.41 (0.11 0.71)
South Asia,5.41 (4.34 6.20),29.9 (23.34 34.48),5.36 (4.12 6.28),66.77 (51.04 78.78),−0.16 (−0.30 −0.03)
Southeast Asia,3.21 (2.35 3.75),7.93 (5.75 8.99),3.17 (2.40 4.11),16.87 (12.46 21.21),−0.19 (−0.30 −0.08)
East Asia,0.92 (0.74 1.08),6.59 (5.25 7.64),0.66 (0.56 0.80),10.61 (8.96 13.13),−1.15 (−1.32 −0.98)
Oceania,3.17 (2.41 4.82),0.08 (0.06 0.10),2.84 (2.28 3.66),0.17 (0.13 0.21),−0.43 (−0.48 −0.39)
Western Sub-Saharan Africa,2.69 (2.16 3.40),2.53 (2.05 3.21),2.17 (1.67 3.19),4.19 (3.19 6.09),−0.93 (−1.02 −0.83)
Eastern Sub-Saharan Africa,3.05 (1.87 4.80),2.34 (1.54 3.57),2.69 (1.47 4.38),4.08 (2.30 6.54),−0.51 (−0.56 −0.45)
Central Sub-Saharan Africa,2.85 (1.80 4.56),0.59 (0.40 0.91),2.59 (1.45 4.31),1.21 (0.69 2.00),−0.44 (−0.51 −0.36)
Southern Sub-Saharan Africa,1.23 (0.85 1.46),0.34 (0.23 0.40),1.26 (1.04 1.59),0.64 (0.52 0.80),−0.08 (−0.69 0.53)
